19.04.2015                                                                                  Dynamic List Display                                                                                          1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  OLTPSOURCE                    |LOGSYS    |OBJVERS|ISOURCE                      |TRANSTRU                  |ISOSTYPE|ISTYPE|TSTPNM  |           TIMESTMP|CONTREL|       CONTTIMESTMP|ISSRCTYPE|INVISIBLE|
|  0ACN_STOCK_UPDATE             |ZFLATF_2ND|D      |0ACN_STOCK_UPDATE            |X                         |I       |D     |        |                 0 |3.0/01 |20,010,518,112,814 |         |         |
|  0ACN_STOCK_UPDATE             |ZFLATF_LEG|D      |0ACN_STOCK_UPDATE            |X                         |I       |D     |        |                 0 |3.0/01 |20,010,518,112,814 |         |         |
|  0ACN_STOCK_UPDATE             |ZFLATF_SAP|D      |0ACN_STOCK_UPDATE            |X                         |I       |D     |        |                 0 |3.0/01 |20,010,518,112,814 |         |         |
|  0ACTIONREAS_TEXT              |P20CLNT023|D      |0ACTIONREAS                  |X                         |O       |T     |        |                 0 |3.3/01 |20,030,703,051,554 |         |         |
|  0ACTIONTYPE_TEXT              |P20CLNT023|A      |0ACTIONTYPE                  |                          |O       |T     |        |20,000,924,005,243 |       |                 0 |         |         |
|  0ACTIONTYPE_TEXT              |P20CLNT023|D      |0ACTIONTYPE                  |X                         |O       |T     |        |                 0 |3.3/01 |20,030,703,051,506 |         |         |
|  0ACTIONTYPE_TEXT              |ZFLATF_LEG|A      |0ACTIONTYPE                  |0ACTIONTYPE_TEXT_OB       |O       |T     |10109911|20,071,211,091,745 |       |                 0 |         |         |
|  0ACTIVITY_ATTR                |P20CLNT023|A      |0ACTIVITY                    |0ACTIVITY_ATTR_PA         |O       |M     |        |                 0 |3.2/01 |20,030,414,111,622 |         |         |
|  0ACTIVITY_ATTR                |P20CLNT023|D      |0ACTIVITY                    |X                         |O       |M     |        |                 0 |3.2/01 |20,030,414,111,622 |         |         |
|  0ACTIVITY_TEXT                |P20CLNT023|A      |0ACTIVITY                    |0ACTIVITY_TEXT_PA         |O       |T     |        |                 0 |3.1/01 |20,021,029,085,438 |         |         |
|  0ACTIVITY_TEXT                |P20CLNT023|D      |0ACTIVITY_TEXT               |X                         |I       |D     |        |                 0 |7.0/03 |20,070,803,111,531 |         |         |
|  0ACTIVITY_USR_ATTR            |P20CLNT023|D      |0ACTIVITY_USR_ATTR           |X                         |I       |D     |        |                 0 |7.0/03 |20,070,717,133,452 |         |         |
|  0ACTPRIND_TEXT                |P20CLNT023|A      |0ACTPRIND                    |                          |O       |T     |        |20,000,924,005,207 |       |                 0 |         |         |
|  0ACTPRIND_TEXT                |P20CLNT023|D      |0ACTPRIND                    |X                         |O       |T     |        |                 0 |2.0/02 |20,000,405,091,822 |         |         |
|  0ACTTYPE_0105_HIER            |P20CLNT023|D      |0ACTTYPE                     |                          |O       |H     |        |                 0 |2.0/01 |19,990,922,113,246 |         |         |
|  0ACTTYPE_ATTR                 |P20CLNT023|A      |0ACTTYPE                     |0ACTTYPE_ATTR_PA          |O       |M     |L221927 |20,020,821,165,856 |       |                 0 |         |         |
|  0ACTTYPE_ATTR                 |P20CLNT023|D      |0ACTTYPE                     |X                         |O       |M     |        |                 0 |2.0/02 |20,000,511,150,432 |         |         |
|  0ACTTYPE_ATTR                 |ZFLATF_LEG|A      |0ACTTYPE                     |0ACTTYPE_ATTR_OB          |O       |M     |10109911|20,071,212,063,338 |       |                 0 |         |         |
|  0ACTTYPE_HIER                 |ZFLATF_LEG|A      |0ACTTYPE                     |                          |O       |H     |10109911|20,071,212,063,338 |       |                 0 |         |         |
|  0ACTTYPE_HIER                 |ZFLATF_LEG|T      |0ACTTYPE                     |                          |O       |H     |10109911|20,071,212,063,338 |       |                 0 |         |         |
|  0ACTTYPE_TEXT                 |P20CLNT023|A      |0ACTTYPE                     |0ACTTYPE_TEXT_PA          |O       |T     |L221927 |20,020,821,170,027 |       |                 0 |         |         |
